user,date,problem_idx,succeed
alice,2024-08-10,problem1,TRUE
bob,2024-08-10,problem1,FALSE
charlie,2024-08-11,problem1,TRUE
alice,2024-08-11,problem2,TRUE
bob,2024-08-12,problem1,TRUE
charlie,2024-08-12,problem2,FALSE
alice,2024-08-13,problem3,TRUE
bob,2024-08-14,problem2,TRUE
charlie,2024-08-15,problem2,TRUE
alice,2024-08-16,problem4,FALSE
bob,2024-08-17,problem3,TRUE
charlie,2024-08-18,problem3,FALSE
alice,2024-08-19,problem4,TRUE
bob,2024-08-20,problem4,TRUE
charlie,2024-08-21,problem3,TRUE
alice,2024-08-22,problem5,TRUE
bob,2024-08-22,problem5,FALSE
charlie,2024-08-23,problem4,TRUE
alice,2024-08-23,problem6,TRUE
bob,2024-08-23,problem5,TRUE
